DATE,Year,Moth,Day,Time,DateTime,Xray,SolarWindSpeed,SolarWindDensity,IMF,DST,AE,Timestamp,Date,Wolf,GCR,TimestampMonth
6/8/2013,2013,6,8,10:00,6/08/13 10:00,2.56E-07,446.1,4.1,0.1,-8,172,1370685600,Nov-19,4.4,9647,1572566400
6/8/2013,2013,6,8,11:00,6/08/13 11:00,2.36E-07,440.3,4.3,0.7,-17,93,1370689200,Dec-19,3.5,9651,1575158400
6/8/2013,2013,6,8,12:00,6/08/13 12:00,2.29E-07,437.8,4.1,0.8,-16,150,1370692800,,,,
6/8/2013,2013,6,8,13:00,6/08/13 13:00,2.30E-07,435.2,3.1,0.6,-17,146,1370696400,,,,
6/8/2013,2013,6,8,14:00,6/08/13 14:00,2.41E-07,430.9,3.0,0.5,-17,86,1370700000,,,,
6/8/2013,2013,6,8,15:00,6/08/13 15:00,2.33E-07,427.3,2.8,0.2,-20,71,1370703600,,,,
6/8/2013,2013,6,8,16:00,6/08/13 16:00,2.20E-07,423.9,2.5,-0.0,-19,64,1370707200,,,,
6/8/2013,2013,6,8,17:00,6/08/13 17:00,2.27E-07,413.8,3.1,-0.0,-17,46,1370710800,,,,
6/8/2013,2013,6,8,18:00,6/08/13 18:00,3.22E-07,411.2,2.9,0.1,-13,41,1370714400,,,,
6/8/2013,2013,6,8,19:00,6/08/13 19:00,1.11E-06,405.4,3.0,-0.0,-14,48,1370718000,,,,
6/8/2013,2013,6,8,20:00,6/08/13 20:00,5.15E-07,392.0,5.1,-0.5,-14,52,1370721600,,,,
6/8/2013,2013,6,8,21:00,6/08/13 21:00,3.44E-07,384.1,6.0,-0.8,-14,68,1370725200,,,,
6/8/2013,2013,6,8,22:00,6/08/13 22:00,3.81E-07,380.7,7.4,-0.7,-14,47,1370728800,,,,
6/8/2013,2013,6,8,23:00,6/08/13 23:00,7.07E-07,380.6,8.2,-0.8,-16,44,1370732400,,,,
6/9/2013,2013,6,9,0:00,6/09/13 00:00,2.72E-07,378.0,9.8,-0.6,-14,50,1370736000,,,,
6/9/2013,2013,6,9,1:00,6/09/13 01:00,3.58E-07,375.7,11.1,0.2,-13,49,1370739600,,,,
6/9/2013,2013,6,9,2:00,6/09/13 02:00,1.63E-06,-9999.9,-9999.9,0.9,-8,73,1370743200,,,,
6/9/2013,2013,6,9,3:00,6/09/13 03:00,3.50E-07,393.8,9.1,1.2,-6,132,1370746800,,,,
6/9/2013,2013,6,9,4:00,6/09/13 04:00,2.36E-07,406.9,10.0,2.7,-3,81,1370750400,,,,
6/9/2013,2013,6,9,5:00,6/09/13 05:00,2.30E-07,416.0,8.6,-0.5,0,63,1370754000,,,,
6/9/2013,2013,6,9,6:00,6/09/13 06:00,2.41E-07,436.1,9.8,1.9,-1,75,1370757600,,,,
6/9/2013,2013,6,9,7:00,6/09/13 07:00,3.43E-07,439.6,8.6,-1.1,-1,113,1370761200,,,,
6/9/2013,2013,6,9,8:00,6/09/13 08:00,2.13E-07,436.0,11.8,-0.8,0,102,1370764800,,,,
6/9/2013,2013,6,9,9:00,6/09/13 09:00,1.87E-07,427.1,9.9,-2.0,0,95,1370768400,,,,
6/9/2013,2013,6,9,10:00,6/09/13 10:00,2.30E-07,431.6,7.9,-1.3,0,219,1370772000,,,,
6/9/2013,2013,6,9,11:00,6/09/13 11:00,1.72E-07,424.6,7.6,-2.7,-2,176,1370775600,,,,
6/9/2013,2013,6,9,12:00,6/09/13 12:00,1.75E-07,415.6,7.7,-2.7,0,415,1370779200,,,,
6/9/2013,2013,6,9,13:00,6/09/13 13:00,1.86E-07,413.8,9.6,-2.3,-3,291,1370782800,,,,
6/9/2013,2013,6,9,14:00,6/09/13 14:00,2.22E-07,395.8,8.5,-4.1,-7,283,1370786400,,,,
6/9/2013,2013,6,9,15:00,6/09/13 15:00,1.89E-07,390.1,7.4,-2.8,-14,414,1370790000,,,,
6/9/2013,2013,6,9,16:00,6/09/13 16:00,1.68E-07,369.8,10.0,-1.3,-17,385,1370793600,,,,
6/9/2013,2013,6,9,17:00,6/09/13 17:00,1.67E-07,372.8,8.5,-2.1,-21,484,1370797200,,,,
6/9/2013,2013,6,9,18:00,6/09/13 18:00,1.93E-07,366.7,12.9,1.4,-12,318,1370800800,,,,
6/9/2013,2013,6,9,19:00,6/09/13 19:00,1.58E-07,361.5,11.1,-0.7,-10,138,1370804400,,,,
6/9/2013,2013,6,9,20:00,6/09/13 20:00,1.52E-07,355.1,9.3,-1.1,-6,66,1370808000,,,,
6/9/2013,2013,6,9,21:00,6/09/13 21:00,1.49E-07,354.6,7.1,1.9,-9,68,1370811600,,,,
6/9/2013,2013,6,9,22:00,6/09/13 22:00,1.46E-07,357.1,7.8,-0.3,-11,48,1370815200,,,,
6/9/2013,2013,6,9,23:00,6/09/13 23:00,1.44E-07,353.2,7.3,-1.7,-10,64,1370818800,,,,
6/10/2013,2013,6,10,0:00,6/10/13 00:00,1.56E-07,348.3,7.8,-3.3,-10,76,1370822400,,,,
6/10/2013,2013,6,10,1:00,6/10/13 01:00,1.63E-07,344.3,8.3,-3.8,-14,189,1370826000,,,,
6/10/2013,2013,6,10,2:00,6/10/13 02:00,1.58E-07,354.1,11.0,-4.5,-18,448,1370829600,,,,
6/10/2013,2013,6,10,3:00,6/10/13 03:00,1.55E-07,369.9,14.9,-4.9,-17,413,1370833200,,,,
6/10/2013,2013,6,10,4:00,6/10/13 04:00,1.58E-07,372.0,13.4,2.7,-19,645,1370836800,,,,
6/10/2013,2013,6,10,5:00,6/10/13 05:00,1.77E-07,372.2,11.1,3.5,-18,571,1370840400,,,,
6/10/2013,2013,6,10,6:00,6/10/13 06:00,1.73E-07,376.6,7.0,1.8,-15,468,1370844000,,,,
6/10/2013,2013,6,10,7:00,6/10/13 07:00,1.76E-07,368.4,7.9,-3.1,-14,114,1370847600,,,,
6/10/2013,2013,6,10,8:00,6/10/13 08:00,1.68E-07,367.2,7.9,-1.8,-10,63,1370851200,,,,
6/10/2013,2013,6,10,9:00,6/10/13 09:00,1.99E-07,370.8,10.1,-4.3,-12,127,1370854800,,,,
6/10/2013,2013,6,10,10:00,6/10/13 10:00,1.78E-07,371.8,12.9,-0.7,-9,305,1370858400,,,,
6/10/2013,2013,6,10,11:00,6/10/13 11:00,1.81E-07,377.8,14.9,-0.3,-11,429,1370862000,,,,
6/10/2013,2013,6,10,12:00,6/10/13 12:00,2.43E-07,382.8,8.7,-1.0,-12,264,1370865600,,,,
6/10/2013,2013,6,10,13:00,6/10/13 13:00,2.44E-07,382.6,11.8,-0.9,-14,143,1370869200,,,,
6/10/2013,2013,6,10,14:00,6/10/13 14:00,2.93E-07,388.3,11.1,-0.8,-10,95,1370872800,,,,
6/10/2013,2013,6,10,15:00,6/10/13 15:00,1.57E-07,406.5,13.6,-1.1,-13,93,1370876400,,,,
6/10/2013,2013,6,10,16:00,6/10/13 16:00,1.42E-07,400.1,12.2,0.1,-9,158,1370880000,,,,
6/10/2013,2013,6,10,17:00,6/10/13 17:00,1.41E-07,383.8,9.4,1.3,-8,178,1370883600,,,,
6/10/2013,2013,6,10,18:00,6/10/13 18:00,1.50E-07,373.5,7.4,1.8,-8,118,1370887200,,,,
6/10/2013,2013,6,10,19:00,6/10/13 19:00,1.65E-07,371.3,6.5,2.6,-11,68,1370890800,,,,
6/10/2013,2013,6,10,20:00,6/10/13 20:00,1.62E-07,361.7,5.9,0.5,-12,55,1370894400,,,,
6/10/2013,2013,6,10,21:00,6/10/13 21:00,1.44E-07,-9999.9,-9999.9,2.8,-14,40,1370898000,,,,
6/10/2013,2013,6,10,22:00,6/10/13 22:00,1.36E-07,361.0,4.4,2.9,-14,56,1370901600,,,,
6/10/2013,2013,6,10,23:00,6/10/13 23:00,1.39E-07,371.1,5.9,2.6,-12,51,1370905200,,,,
